Date;Well1
2007-01-02;-6.59458333333333
2007-01-03;-6.67041666666667
2007-01-04;-6.745
2007-01-05;-6.81416666666667
2007-01-06;-6.88458333333333
2007-01-07;-6.95208333333333
2007-01-08;-7.01041666666667
2007-01-09;-7.07875
2007-01-10;-7.14125
2007-01-11;-7.19416666666667
2007-01-12;-7.24333333333333
2007-01-13;-7.29833333333333
2007-01-14;-7.35291666666667
2007-01-15;-7.40916666666667
2007-01-16;-7.46208333333333
2007-01-17;-7.51666666666667
2007-01-18;-7.56875
2007-01-19;-7.61791666666667
2007-01-20;-7.66291666666667
2007-01-21;-7.70291666666667
2007-01-22;-7.74875
2007-01-23;-7.83208333333333
2007-01-24;-7.88666666666667
2007-01-25;-7.92125
2007-01-26;-7.95708333333333
2007-01-27;-7.99208333333333
2007-01-28;-8.02625
2007-01-29;-8.05666666666667
2007-01-30;-8.08916666666667
2007-01-31;-8.125
2007-02-01;-8.15125
2007-02-02;-8.18083333333333
2007-02-03;-8.21
2007-02-04;-8.23833333333333
2007-02-05;-8.25958333333333
2007-02-06;-8.28833333333333
2007-02-07;-8.31041666666667
2007-02-08;-8.33958333333333
2007-02-09;-8.36541666666667
2007-02-10;-8.39125
2007-02-11;-8.42333333333333
2007-02-12;-8.44916666666667
2007-02-13;-8.4775
2007-02-14;-8.50416666666667
2007-02-15;-8.53083333333333
2007-02-16;-8.55666666666667
2007-02-17;-8.5825
2007-02-18;-8.60958333333333
2007-02-19;-8.63875
2007-02-20;-8.6675
2007-02-21;-8.69541666666667
2007-02-22;-8.71666666666667
2007-02-23;-8.73625
2007-02-24;-8.75875
2007-02-25;-8.77916666666667
2007-02-26;-8.79875
2007-02-27;-8.81875
2007-02-28;-8.83958333333333
2007-03-01;-8.86041666666667
2007-03-02;-8.87958333333333
2007-03-03;-8.89791666666667
2007-03-04;-8.91791666666667
2007-03-05;-8.93833333333333
2007-03-06;-8.95583333333333
2007-03-07;-8.97
2007-03-08;-8.99041666666667
2007-03-09;-9.01291666666667
2007-03-10;-9.03708333333333
2007-03-11;-9.05708333333334
2007-03-12;-9.07291666666667
2007-03-13;-9.09125
2007-03-14;-9.10958333333333
2007-03-15;-9.12708333333333
2007-03-16;-9.14625
2007-03-17;-9.16416666666667
2007-03-18;-9.17875
2007-03-19;-9.19791666666667
2007-03-20;-9.21833333333333
2007-03-21;-9.23916666666667
2007-03-22;-9.25875
2007-03-23;-9.28041666666667
2007-03-24;-9.3
2007-03-25;-9.3152
2007-03-26;-9.3325
2007-03-27;-9.35458333333333
2007-03-28;-9.37291666666667
2007-03-29;-9.39041666666667
2007-03-30;-9.40916666666667
2007-03-31;-9.42791666666667
2007-04-01;-9.4425
2007-04-02;-9.45791666666667
2007-04-03;-9.47208333333333
2007-04-04;-9.48708333333333
2007-04-05;-9.49666666666667
2007-04-06;-9.51041666666667
2007-04-07;-9.52416666666667
2007-04-08;-9.54083333333333
2007-04-09;-9.55333333333333
2007-04-10;-9.56916666666667
2007-04-11;-9.58333333333333
2007-04-12;-9.59833333333333
2007-04-13;-9.61333333333333
2007-04-14;-9.63083333333333
2007-04-15;-9.6475
2007-04-16;-9.66
2007-04-17;-9.6675
2007-04-18;-9.67166666666667
2007-04-19;-9.68916666666667
2007-04-20;-9.7
2007-04-21;-9.67208333333333
2007-04-22;-9.63
2007-04-23;-9.605
2007-04-24;-9.58583333333333
2007-04-25;-9.56541666666667
2007-04-26;-9.55083333333333
2007-04-27;-9.53583333333333
2007-04-28;-9.525
2007-04-29;-9.51458333333333
2007-04-30;-9.50666666666667
2007-05-01;-9.50375
2007-05-02;-9.51
2007-05-03;-9.51
2007-05-04;-9.505
2007-05-05;-9.495
2007-05-06;-9.48125
2007-05-07;-9.48
2007-05-08;-9.48
2007-05-09;-9.4825
2007-05-10;-9.49666666666667
2007-05-11;-9.50833333333333
2007-05-12;-9.52458333333333
2007-05-13;-9.54041666666667
2007-05-14;-9.55833333333333
2007-05-15;-9.5725
2007-05-16;-9.59208333333333
2007-05-17;-9.60625
2007-05-18;-9.61958333333333
2007-05-19;-9.63916666666667
2007-05-20;-9.65708333333333
2007-05-21;-9.67833333333333
2007-05-22;-9.695
2007-05-23;-9.7125
2007-05-24;-9.73208333333333
2007-05-25;-9.7525
2007-05-26;-9.77125
2007-05-27;-9.79125
2007-05-28;-9.81958333333333
2007-05-29;-9.85125
2007-05-30;-9.87166666666667
2007-05-31;-9.89166666666667
2007-06-01;-9.915
2007-06-02;-9.93208333333333
2007-06-03;-9.9475
2007-06-04;-9.96708333333334
2007-06-05;-9.98
2007-06-06;-9.9975
2007-06-07;-10.0116666666667
2007-06-08;-10.0241666666667
2007-06-09;-10.04125
2007-06-10;-10.0604166666667
2007-06-11;-10.0720833333333
2007-06-12;-10.0904166666667
2007-06-13;-10.1070833333333
2007-06-14;-10.1225
2007-06-15;-10.1375
2007-06-16;-10.1508333333333
2007-06-17;-10.16
2007-06-18;-10.17625
2007-06-19;-10.1854166666667
2007-06-20;-10.1941666666667
2007-06-21;-10.1979166666667
2007-06-22;-10.2025
2007-06-23;-10.1070833333333
2007-06-24;-9.29875
2007-06-25;-8.5
2007-06-26;-8.23625
2007-06-27;-8.12
2007-06-28;NaN
2007-06-29;NaN
2007-06-30;-7.93
2007-07-01;-7.72458333333333
2007-07-02;-6.76791666666667
2007-07-03;-5.84666666666667
2007-07-04;-5.11791666666667
2007-07-05;-4.58541666666667
2007-07-06;-4.21458333333333
2007-07-07;-3.86916666666667
2007-07-08;-3.63208333333333
