Date;P1;P3;P5;P6;P7;P9;P10;P12;P13
2004-03-28;-12.880400000000002;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-03-29;-12.887916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-03-30;-12.8925;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-03-31;-11.935416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-01;-9.684583333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-02;-9.492083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-03;-9.399583333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-04;-9.18125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-05;-8.785833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-06;-8.56125;-28.52;-39.88;-38.18;NaN;NaN;NaN;NaN;NaN
2004-04-07;-8.348333333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-08;-8.225416666666668;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-09;-8.157916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-10;-8.165416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-11;-8.26375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-12;-8.357083333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-13;-8.422916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-14;-8.4475;-28.34;NaN;-38.195;NaN;NaN;NaN;NaN;NaN
2004-04-15;-8.474166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-16;-8.541666666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-17;-8.617083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-18;-8.725833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-19;-8.852916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-20;-9.048333333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-21;-9.277916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-22;-8.50375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-23;-7.4070833333333335;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-24;-6.595416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-25;-5.992916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-26;-5.632916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-27;-5.236666666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-28;-4.994583333333333;-28.4;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-29;-4.91047619047619;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-04-30;-5.118181818181818;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-05-01;-5.0616666666666665;-28.667;-39.9;-38.21;NaN;NaN;NaN;NaN;NaN
2004-05-02;-5.069999999999999;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
